iyear,region,region_txt,city,crit1,crit2,crit3,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound
2006,6,South Asia,Quetta,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,3.0
2006,6,South Asia,Akhundkhel,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,0.0,0.0
2006,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,0.0,2.0
2006,6,South Asia,Hassan Karez,1,1,1,6,Hostage Taking (Kidnapping),1,Business,9,Melee,1.0,0.0
2006,6,South Asia,Tarin Kot,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,3.0
2006,6,South Asia,Farah,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,0.0
2006,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,0.0
2006,6,South Asia,Gereshk,1,1,1,6,Hostage Taking (Kidnapping),3,Police,9,Melee,1.0,0.0
2006,6,South Asia,Gereshk,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,3.0,0.0
2006,6,South Asia,Shahjoy district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,4.0
2006,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,2.0,1.0
2006,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,9.0
2006,6,South Asia,Ghazni,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,2.0,1.0
2006,6,South Asia,Herat,1,1,1,2,Armed Assault,3,Police,5,Firearms,2.0,1.0
2006,6,South Asia,Khogyani district,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,0.0
2006,6,South Asia,Unknown,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,6.0
2006,6,South Asia,Qarabagh district,1,1,1,1,Assassination,3,Police,5,Firearms,1.0,0.0
2006,6,South Asia,Giro district,1,1,1,7,Facility/Infrastructure Attack,3,Police,5,Firearms,1.0,3.0
2006,6,South Asia,Yawalak Tangi,1,1,1,2,Armed Assault,3,Police,5,Firearms,4.0,2.0
2006,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3.0,0.0
2006,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,4.0,12.0
2006,6,South Asia,Shah Joy district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,2.0
2006,6,South Asia,Puli Khumri,1,1,1,3,Bombing/Explosion,12,NGO,6,Explosives,0.0,0.0
2006,6,South Asia,Herat,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,1.0,8.0
2006,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,2.0,7.0
2006,6,South Asia,Korangal,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,5.0,1.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,1.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,10.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,8.0
2006,6,South Asia,Dangam district,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,2.0
2006,6,South Asia,Khan Shine,1,1,1,2,Armed Assault,3,Police,5,Firearms,0.0,0.0
2006,6,South Asia,Qalat,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,1.0,1.0
2006,6,South Asia,Wazakhwa district,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0
2006,6,South Asia,Gardez,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,5.0,22.0
2006,6,South Asia,Lashkar Gah,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,3.0,9.0
2006,6,South Asia,Shah Wali Kot district,1,1,1,2,Armed Assault,12,NGO,5,Firearms,2.0,1.0
2006,6,South Asia,Yaqubi,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,4.0,2.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,2.0
2006,6,South Asia,Unknown,1,1,1,2,Armed Assault,3,Police,5,Firearms,10.0,8.0
2006,6,South Asia,Muqur district,1,1,1,6,Hostage Taking (Kidnapping),2,Government (General),6,Explosives,6.0,1.0
